lang;filename;key;original;translated
en;Untersuchungen/05-gentest.md;main_content;"Hier folgt bald ein Text, in dem wir unsere Gentest-Verfahren erklären.
";"Here is the translated text:

 Soon follows a text that explains our genetic test procedures."
en;Untersuchungen/05-gentest.md;title;Analyse genetischer Marker;Genetic Marker Analysis
en;Untersuchungen/02-hormontest.md;main_content;"Hier folgt bald ein Text, in dem wir unsere Hormontest-Verfahren erklären.
";"Here is the translated text:

An explanation of our hormone test methods will follow shortly."
en;Untersuchungen/02-hormontest.md;title;Hormontest;Hormone Test
en;Untersuchungen/03-stoffwechselanalyse.md;main_content;"Hier folgt bald ein Text, in dem wir unsere Stoffwechselanalyse-Verfahren erklären.
";"Here is the translated text:

Here follows a text where we explain our metabolic analysis methods."
en;Untersuchungen/03-stoffwechselanalyse.md;title;Stoffwechselanalyse;Metabolic Analysis
en;Untersuchungen/04-vitalstoff-check.md;main_content;"Hier folgt bald ein Text, in dem wir unsere Vitalstoff-Test-Verfahren erklären.
";"Here is the translated text:

[Soon comes a text explaining our vital nutrient testing methods.]"
en;Untersuchungen/04-vitalstoff-check.md;title;Vitalstoff-Test;Essential Nutrient Test
en;Untersuchungen/01-blutanalyse.md;main_content;"Hier folgt in Kürze eine Beschreibung zu unserer Blutanalyse.
";"Here is the translated text:

[Soon follows a description of our blood analysis.]"
en;Untersuchungen/01-blutanalyse.md;title;Blutanalyse;Blood test
