"key","de","en","fr","it"
"background_color","","","",""
"background_image","var(--bg-lightgrey-warm)","var(--bg-lightgrey-warm)","var(--bg-lightgrey-warm)","var(--bg-lightgrey-warm)"
"body_text_alignment","center","center","center","center"
"button_alignment","center","center","center","center"
"button_placement","content","content","content","content"
"grid_layout","c1/1","c1/1","c1/1","c1/1"
"headline_alignment","center","center","center","center"
"id","partner","partner","partner","partner"
"image","","","",""
"image-shadow","","","",""
"layout","section","section","section","section"
"primary_button_background","var(--sv-primary)","var(--sv-primary)","var(--sv-primary)","var(--sv-primary)"
"primary_button_border","","","",""
"primary_button_link","#selbsttest","#selbsttest","#selbsttest","#selbsttest"
"primary_button_text","Brauchen Sie eine Arzt?","Do you need a doctor?","Avez-vous besoin d’un médecin ?","Hai bisogno di un medico?"
"primary_button_text_color","var(--sv-offwhite)","var(--sv-offwhite)","var(--sv-offwhite)","var(--sv-offwhite)"
"secondary_button_background","rgba(var(--sv-offwhite-rgb), 0.3)","rgba(var(--sv-offwhite-rgb), 0.3)","rgba(var(--sv-offwhite-rgb), 0.3)","rgba(var(--sv-offwhite-rgb), 0.3)"
"secondary_button_border","rgba(var(--sv-offwhite-rgb), 0.3)","rgba(var(--sv-offwhite-rgb), 0.3)","rgba(var(--sv-offwhite-rgb), 0.3)","rgba(var(--sv-offwhite-rgb), 0.3)"
"secondary_button_link","","","",""
"secondary_button_text","","","",""
"secondary_button_text_color","rgba(var(--sv-offwhite-rgb), 0.8)","rgba(var(--sv-offwhite-rgb), 0.8)","rgba(var(--sv-offwhite-rgb), 0.8)","rgba(var(--sv-offwhite-rgb), 0.8)"
"text_color","","","",""
"title","Unsere Partner","Our Partners","Nos Partenaires","I Nostri Partner"
"body_text","#### Wir haben ein gewachsenes Netzwerk mit Partnern, denen wir vertrauen.

Wohin geht ein Arzt, wenn er mal zum Arzt muss, fragen Sie sich vielleicht? Die meisten Ärzte doktern erst einmal selbst an sich herum. Aber wenn sie dann doch einmal fremde Hilfe brauchen, haben sie ein Netzwerk aus guten Leuten, die sie vom Studium kennen oder von der gemeinschaftlichen Betreuung einiger Patient:innen. Zu so einer Person gehen sie, wenn sie mal einen Arzt oder eine Ärztin brauchen und nur solche Personen empfehlen wir auch Ihnen. Unsere Partner sind nicht nur approbiert und gut ausgebildet; sie haben ihre Fähigkeiten auch im persönlichen Kontakt mit SwissVital bewiesen. Auch diesen Menschen können Fehler passieren. Aber wenn Sie selbst keinen guten Spezialisten kennen, fahren Sie mit unseren Empfehlungen sicher gut.","#### We have a well-established network of trusted partners.

You may be wondering: where does a doctor go when they need to see a doctor? Most doctors try to treat themselves first. But when they do need outside help, they turn to a network of trusted professionals—colleagues they know from their studies or from jointly treating patients. They rely on these people when they need medical care, and those are the same people we recommend to you. Our partners are not only licensed and well-trained; they have also proven their expertise in direct collaboration with SwissVital. Of course, even they are not infallible. But if you don’t know a good specialist yourself, you can trust our recommendations.","#### Nous avons un réseau bien établi de partenaires de confiance.

Vous vous demandez peut-être : où va un médecin quand il a besoin d’un médecin ? La plupart des médecins essaient d’abord de se soigner eux-mêmes. Mais lorsqu’ils ont besoin d’une aide extérieure, ils s’adressent à un réseau de professionnels de confiance—des collègues qu’ils connaissent depuis leurs études ou avec qui ils ont traité des patients en commun. Ce sont ces personnes qu’ils consultent en cas de besoin, et ce sont aussi celles que nous vous recommandons. Nos partenaires ne sont pas seulement diplômés et bien formés ; ils ont également prouvé leur expertise en collaboration directe avec SwissVital. Bien sûr, ils ne sont pas infaillibles. Mais si vous ne connaissez pas de bon spécialiste, vous pouvez faire confiance à nos recommandations.","#### Abbiamo una rete consolidata di partner fidati.

Ti stai chiedendo: dove va un medico quando ha bisogno di un medico? La maggior parte dei medici prova prima a curarsi da solo. Ma quando hanno bisogno di aiuto esterno, si affidano a una rete di professionisti fidati—colleghi che conoscono dagli studi o con cui hanno curato pazienti insieme. Si rivolgono a loro in caso di necessità, e sono le stesse persone che consigliamo a te. I nostri partner non sono solo abilitati e ben formati; hanno dimostrato le loro competenze anche in collaborazione diretta con SwissVital. Anche loro possono sbagliare, ma se non conosci un buon specialista, puoi fidarti delle nostre raccomandazioni."
