"key","de","en","fr","it"
"background_color","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)"""
"background_image","""""","""""","""""",""""""
"body_text_alignment","""left""","""left""","""left""","""left"""
"button_alignment","""center""","""center""","""center""","""center"""
"button_placement","""content""","""""","""""",""""""
"grid_layout","""i2/5, c3/5""","""i2/5, c3/5""","""i2/5, c3/5""","""i2/5, c3/5"""
"headline_alignment","""left""","""left""","""left""","""left"""
"id","""selbsttest""","""selbsttest""","""selbsttest""","""selbsttest"""
"image","""img/home/_selbsttest.webp""","""img/home/_selbsttest.webp""","""img/home/_selbsttest.webp""","""img/home/_selbsttest.webp"""
"image-shadow","""shadow""","""shadow""","""shadow""","""shadow"""
"layout","""section""","""section""","""section""","""section"""
"primary_button_background","""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)"""
"primary_button_border","""""","""""","""""",""""""
"primary_button_link","""#selbsttest""","""#selbsttest""","""#selbsttest""","""#selbsttest"""
"primary_button_text","""Selbsttest starten""","""Start Self-Test""","""Démarrer l'auto-test""","""Inizia l'autotest"""
"primary_button_text_color","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)"""
"secondary_button_background","""""","""""","""""",""""""
"secondary_button_border","""""","""""","""""",""""""
"secondary_button_link","""""","""""","""""",""""""
"secondary_button_text","""""","""""","""""",""""""
"secondary_button_text_color","""""","""""","""""",""""""
"text_color","""""","""""","""""",""""""
"title","""Selbsttest: Ihr erster Schritt – ohne Kosten""","""Self-Test: Your First Step – Free of Charge""","""Auto-Test : Votre Première Étape – Gratuitement""","""Autotest: Il tuo primo passo – Senza costi"""
"body_text","Nicht immer ist ein Ganzkörper-MRT erste Wahl. Manchmal sind andere Vorsorgemassnahmen zielsicherer oder wichtiger. Das hängt von Ihrer persönlichen Gesundheitsgeschichte und Ihren Lebensumständen ab.

Die medizinischen Fachgesellschaften haben für verschiedene Vorsorgeuntersuchungen klare Empfehlungen ausgesprochen, die natürlich auf den Einzelfall abgestimmt werden müssen. Bei uns können Sie sich leicht einen Überblick verschaffen, welche Vorsorgestrategie für Sie sinnvoll ist.","A full-body MRI is not always the first choice. Sometimes, other preventive measures are more precise or important. It depends on your personal medical history and life circumstances.

Medical societies have issued clear recommendations for various preventive examinations, which must, of course, be tailored to individual cases. With us, you can easily get an overview of which prevention strategy makes sense for you.","Une IRM du corps entier n'est pas toujours le premier choix. Parfois, d'autres mesures préventives sont plus précises ou plus importantes. Cela dépend de votre historique médical personnel et de votre situation de vie.

Les sociétés médicales ont émis des recommandations claires pour divers examens préventifs, qui doivent bien sûr être adaptées aux cas individuels. Avec nous, vous pouvez facilement obtenir un aperçu de la stratégie de prévention qui vous convient le mieux.","Una risonanza magnetica a corpo intero non è sempre la prima scelta. A volte, altre misure preventive sono più precise o più importanti. Dipende dalla tua storia medica personale e dalle tue circostanze di vita.

Le società mediche hanno formulato raccomandazioni chiare per vari esami preventivi, che naturalmente devono essere adattate ai singoli casi. Con noi, puoi facilmente ottenere una panoramica della strategia di prevenzione più adatta a te."
