"key","de","en","fr","it"
"background_color","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)"""
"background_image","""""","""""","""""",""""""
"body_text_alignment","""center""","""center""","""center""","""center"""
"button_alignment","""center""","""center""","""center""","""center"""
"button_placement","""content""","""content""","""content""","""content"""
"grid_layout","""c1/1""","""c1/1""","""c1/1""","""c1/1"""
"headline_alignment","""center""","""center""","""center""","""center"""
"id","""termin-buchen""","""termin-buchen""","""termin-buchen""","""termin-buchen"""
"image","""""","""""","""""",""""""
"image-shadow","""""","""""","""""",""""""
"layout","""section""","""section""","""section""","""section"""
"primary_button_background","""var(--sv-primary-darker)""","""var(--sv-primary-darker)""","""var(--sv-primary-darker)""","""var(--sv-primary-darker)"""
"primary_button_border","""""","""""","""""",""""""
"primary_button_link","""""","""""","""""",""""""
"primary_button_text","""""","""""","""""",""""""
"primary_button_text_color","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)"""
"secondary_button_background","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)"""
"secondary_button_border","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)"""
"secondary_button_link","""""","""""","""""",""""""
"secondary_button_text","""""","""""","""""",""""""
"secondary_button_text_color","""rgba(var(--sv-offwhite-rgb), 0.8)""","""rgba(var(--sv-offwhite-rgb), 0.8)""","""rgba(var(--sv-offwhite-rgb), 0.8)""","""rgba(var(--sv-offwhite-rgb), 0.8)"""
"text_color","""""","""""","""""",""""""
"title","""Termin buchen""","""Book an Appointment""","""Prendre un Rendez-vous""","""Prenota un Appuntamento"""
"body_text","Hier kommen Sie ganz einfach zu Ihrem Termin. 
 
 **E-Mail eintragen**, Standort wählen, ab die Post.
 
{{< spacer >}}   
        
{{< de_buchungsformular-standard >}}","Here’s how you can easily book your appointment.  

**Enter your email**, select your location, and off you go.

{{< spacer >}}   
        
{{< en_buchungsformular-standard >}}","Voici comment prendre facilement votre rendez-vous.  

**Entrez votre e-mail**, sélectionnez votre emplacement, et c’est parti.

{{< spacer >}}   
        
{{< fr_buchungsformular-standard >}}","Ecco come prenotare facilmente il tuo appuntamento.  

**Inserisci la tua email**, seleziona la tua posizione e sei pronto.

{{< spacer >}}   
        
{{< it_buchungsformular-standard >}}"
