"key","de","en","fr","it"
"background_color","""""","""""","""""",""""""
"background_image","""(--bg-white-gradient)""","""(--bg-white-gradient)""","""(--bg-white-gradient)""","""(--bg-white-gradient)"""
"body_text_alignment","""left""","""left""","""left""","""left"""
"button_alignment","""center""","""center""","""center""","""center"""
"button_placement","""content""","""content""","""content""","""content"""
"grid_layout","""c1/2, i1/2""","""c1/2, i1/2""","""c1/2, i1/2""","""c1/2, i1/2"""
"headline_alignment","""left""","""left""","""left""","""left"""
"id","""datenschutz""","""datenschutz""","""datenschutz""","""datenschutz"""
"image","""img/sections/_fingerprint.webp""","""img/sections/_fingerprint.webp""","""img/sections/_fingerprint.webp""","""img/sections/_fingerprint.webp"""
"image-shadow","""""","""""","""""",""""""
"layout","""section""","""section""","""section""","""section"""
"primary_button_background","""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)"""
"primary_button_border","""""","""""","""""",""""""
"primary_button_link","""#termin-buchen""","""#termin-buchen""","""#termin-buchen""","""#termin-buchen"""
"primary_button_text","""Termin wählen""","""Choose an appointment""","""Choisir un rendez-vous""","""Scegli un appuntamento"""
"primary_button_text_color","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)"""
"secondary_button_background","""""","""""","""""",""""""
"secondary_button_border","""""","""""","""""",""""""
"secondary_button_link","""""","""""","""""",""""""
"secondary_button_text","""""","""""","""""",""""""
"secondary_button_text_color","""""","""""","""""",""""""
"text_color","""""","""""","""""",""""""
"title","""Datenschutz""","""Privacy Policy""","""Protection des données""","""Protezione dei dati"""
"body_text","Gerade bei Gesundheitsdaten ist Datenschutz entscheidend.

Wir behandeln Ihre Daten vertraulich. Wir verdienen nichts an Therapien und raten Ihnen, was wir auch einem guten Freund raten würden. Ausserdem gehen wir noch einen Schritt weiter und speichern Ihre Daten in einem der sichersten Serverstandorte der Welt, wo nur Sie und Ihr behandelnder Arzt bei SwissVital Zugriff haben. Sie allein entscheiden, wem Sie in welchem Umfang Einsicht gewähren möchten. Falls gewünscht, können Sie auch uns den Zugriff per Knopfdruck entziehen – dann können auch wir Ihre Daten erst wieder sehen, wenn Sie uns erneuten Zugriff gewährt haben.","When it comes to health data, privacy is crucial.

We treat your data confidentially. We do not profit from therapies and always give advice that we would also give to a good friend. Moreover, we go a step further by storing your data in one of the world's most secure server locations, where only you and your treating physician at SwissVital have access. You alone decide who can view your data and to what extent. If desired, you can revoke our access with the push of a button – in that case, we will only be able to see your data again once you grant us permission.","En matière de données de santé, la protection des données est essentielle.

Nous traitons vos données de manière confidentielle. Nous ne tirons aucun profit des thérapies et nous vous conseillons comme nous conseillerions un bon ami. De plus, nous allons encore plus loin en stockant vos données dans l'un des emplacements de serveurs les plus sécurisés au monde, où seuls vous et votre médecin traitant chez SwissVital avez accès. Vous seul décidez à qui vous accordez l’accès et dans quelle mesure. Si vous le souhaitez, vous pouvez également nous retirer l’accès en un clic – nous ne pourrons alors voir vos données que si vous nous accordez à nouveau l'accès.","Quando si tratta di dati sanitari, la protezione dei dati è fondamentale.

Trattiamo i vostri dati in modo confidenziale. Non traiamo alcun profitto dalle terapie e vi consigliamo solo come faremmo con un buon amico. Inoltre, facciamo un passo in più e memorizziamo i vostri dati in una delle sedi di server più sicure al mondo, dove solo voi e il vostro medico curante presso SwissVital avete accesso. Siete voi a decidere chi può accedere e in che misura. Se lo desiderate, potete anche revocare il nostro accesso con un semplice clic – potremo vedere i vostri dati solo se ci concedete nuovamente l'accesso."
