"key","de","en","fr","it"
"background_color","""""","""""","""""",""""""
"background_image","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)"""
"body_text_alignment","""center""","""center""","""center""","""center"""
"button_alignment","""center""","""center""","""center""","""center"""
"button_placement","""content""","""content""","""content""","""content"""
"grid_layout","""i1/2, c1/2""","""i1/2, c1/2""","""i1/2, c1/2""","""i1/2, c1/2"""
"headline_alignment","""center""","""center""","""center""","""center"""
"id","""top""","""top""","""top""","""top"""
"image","""/img/home/_bleiben-sie-gesund-architekt.webp""","""/img/home/_bleiben-sie-gesund-architekt.webp""","""/img/home/_bleiben-sie-gesund-architekt.webp""","""/img/home/_bleiben-sie-gesund-architekt.webp"""
"image-shadow","""shadow""","""shadow""","""shadow""","""shadow"""
"layout","""section""","""section""","""section""","""section"""
"primary_button_background","""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)"""
"primary_button_border","""""","""""","""""",""""""
"primary_button_link","""#termin-buchen""","""#termin-buchen""","""#termin-buchen""","""#termin-buchen"""
"primary_button_text","""MRT-Termin""","""MRI Appointment""","""Rendez-vous IRM""","""Appuntamento per la risonanza magnetica"""
"primary_button_text_color","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)"""
"secondary_button_background","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)"""
"secondary_button_border","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)""","""rgba(var(--sv-offwhite-rgb), 0.3)"""
"secondary_button_link","""""","""""","""""",""""""
"secondary_button_text","""""","""""","""""",""""""
"secondary_button_text_color","""rgba(var(--sv-offwhite-rgb), 0.8)""","""rgba(var(--sv-offwhite-rgb), 0.8)""","""rgba(var(--sv-offwhite-rgb), 0.8)""","""rgba(var(--sv-offwhite-rgb), 0.8)"""
"text_color","""""","""""","""""",""""""
"title","""Bleiben Sie gesund""","""Stay Healthy""","""Restez en bonne santé""","""Rimani in salute"""
"body_text","Gesund und munter leben: **Das wollen wir alle.**

Das Wichtigste ist Abwechslung für Körper und Geist, Ernährung mit Augenmass und innere Balance. Und dann kommt: **kluge Vorsorge**.

Wenn Sie hier gelandet sind, weil Sie wissen, dass ein MRT für Sie das Richtige ist, bringt der Button Sie zum Termin. Oder Sie lesen erst noch einmal weiter.","Stay healthy and well: **That’s what we all want.**

The most important thing is variety for body and mind, a balanced diet, and inner harmony. And then comes: **smart prevention**.

If you’ve landed here because you know that an MRI is the right choice for you, the button will take you to the appointment. Or you can read on first.","Restez en bonne santé et en forme : **C'est ce que nous voulons tous.**

L'essentiel est la variété pour le corps et l'esprit, une alimentation équilibrée et l'harmonie intérieure. Et ensuite : **une prévention intelligente**.

Si vous êtes ici parce que vous savez qu'une IRM est le bon choix pour vous, le bouton vous mènera à votre rendez-vous. Ou vous pouvez d'abord lire la suite.","Rimani in salute e in forma: **È ciò che tutti vogliamo.**

La cosa più importante è la varietà per il corpo e la mente, una dieta equilibrata e l'armonia interiore. E poi arriva: **la prevenzione intelligente**.

Se sei arrivato qui perché sai che una risonanza magnetica è la scelta giusta per te, il pulsante ti porterà all'appuntamento. Oppure puoi continuare a leggere."
