key,de,en,fr,it
background_color,"""""","""""","""""",""""""
background_image,"""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)""","""var(--bg-lightgrey-warm)"""
body_text_alignment,"""left""","""left""","""left""","""left"""
button_alignment,"""center""","""center""","""center""","""center"""
button_placement,"""content""","""content""","""content""","""content"""
grid_layout,"""c1/2, i1/2""","""c1/2, i1/2""","""c1/2, i1/2""","""c1/2, i1/2"""
headline_alignment,"""left""","""left""","""left""","""left"""
id,"""so-laeuft-es-ab""","""so-laeuft-es-ab""","""so-laeuft-es-ab""","""so-laeuft-es-ab"""
image,"""img/home/_niko-portrait.webp""","""img/home/_niko-portrait.webp""","""img/home/_niko-portrait.webp""","""img/home/_niko-portrait.webp"""
image-shadow,"""shadow""","""shadow""","""shadow""","""shadow"""
layout,"""section""","""section""","""section""","""section"""
primary_button_background,"""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)""","""var(--sv-primary)"""
primary_button_border,"""""","""""","""""",""""""
primary_button_link,"""#termin-buchen""","""#termin-buchen""","""#termin-buchen""","""#termin-buchen"""
primary_button_text,"""Termin wählen""","""Choose an Appointment""","""Choisir un rendez-vous""","""Scegli un appuntamento"""
primary_button_text_color,"""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)""","""var(--sv-offwhite)"""
secondary_button_background,"""""","""""","""""",""""""
secondary_button_border,"""""","""""","""""",""""""
secondary_button_link,"""""","""""","""""",""""""
secondary_button_text,"""""","""""","""""",""""""
secondary_button_text_color,"""""","""""","""""",""""""
text_color,"""""","""""","""""",""""""
title,"""MRT-Untersuchung: So läuft es ab""","""MRI Examination: How It Works""","""Examen IRM : Comment ça se passe""","""Esame di Risonanza Magnetica: Come Funziona"""
body_text,"Wir spulen nicht einfach ein Standardprogramm ab. Ein MRT kann je nach Parametrisierung unterschiedliche Schwerpunkte in der Bildgebung setzen. Das bedeutet: Je nach Fragestellung liefert ein angepasstes Programm, das sogenannte Protokoll, die aufschlussreichsten Bilder. Daher steht vor dem Scan immer eine Anamnese und die Festlegung der Untersuchungsschwerpunkte.

Dann folgt die eigentliche Untersuchung im offenen Scanner, die etwa 60 Minuten dauert. Dabei entstehen bis zu 4.000 Bilder, aus denen wir ein 3-D-Modell Ihres gesamten Körpers errechnen.","We don’t just run a standard program. Depending on its configuration, an MRI scan can focus on different aspects of imaging. This means: Depending on the question at hand, an adapted protocol provides the most insightful images. Therefore, before the scan, there is always an anamnesis and determination of examination priorities.  

Then follows the actual examination in the open scanner, which takes about 60 minutes. During this time, up to 4,000 images are taken, from which we calculate a 3D model of your entire body.","Nous ne nous contentons pas d’appliquer un programme standard. Une IRM peut se concentrer sur différents aspects de l’imagerie en fonction de sa configuration. Cela signifie que, selon la question posée, un protocole adapté fournit les images les plus pertinentes. C’est pourquoi une anamnèse et la définition des priorités de l’examen précèdent toujours le scan.  Ensuite, l’examen proprement dit a lieu dans le scanner ouvert et dure environ 60 minutes. 

Pendant ce temps, jusqu’à 4 000 images sont prises, à partir desquelles nous calculons un modèle 3D de votre corps entier.","Non seguiamo semplicemente un programma standard. Una risonanza magnetica può mettere in evidenza diversi aspetti dell’imaging a seconda della configurazione. Questo significa che, a seconda della domanda clinica, un protocollo personalizzato fornisce le immagini più dettagliate. Per questo motivo, prima della scansione, si effettua sempre un’anamnesi e si stabiliscono le priorità dell’esame.  

Segue poi l’esame vero e proprio nello scanner aperto, che dura circa 60 minuti. Durante questo tempo, vengono acquisite fino a 4.000 immagini, dalle quali viene calcolato un modello 3D dell’intero corpo."
